schedule,session,title,place,speaker
09:00 - 09:30,,Conference Opening,,
09:30 - 10:00,Inaugural address,Alessandro Vespignani (Northeastern University and ISI Foundation),Aula Kessler,
10:00 - 10:45,Keynote speech,Esteban Moro (Northeastern University),,
10:45 - 11:15,,Coffee Break,,
11:15 - 01:00 PM,,Parallel sessions,,
01:00 - 02:30 PM,,Lunch,,
02:30 - 03:15 PM,Keynote speech,Alison Heppenstall (University of Glasgow),,
03:15 - 03:45 PM,,Coffee Break,,
03:45 - 05:30 PM,,Parallel sessions,,
,,,,
08:00 PM,Conference Dinner,Ristorante Ca' dei Gobj,,
